Feature Title,Feature Text
Feature 1,The thinnest Apple Watch ever\, with our biggest display. With a new Wide-Angle Always-On OLED Retina display
 Footnote
Feature 2,Get health insights day and night. Now with sleep apnea notifications
  footnote
Feature 3,Track all your workouts and activity. New sensors for water sports
Feature 4,Faster charging gives you up to 80 percent battery in 30 minutes
 Footnote 
∆
Feature 5,Get help in an emergency or if you fall or are in a car crash
  footnote  
°
Model1,Model2
Apple Watch SE (2nd generation),Apple Watch Series 10
44mm or 40mm
aluminum case,46mm or 42mm
aluminum or titanium case
LTPO OLED Retina display,LTPO3 OLED Always-on Retina display
—,Wide-angle OLED
Up to 1000 nits,Up to 2000 nits
—,Up to 40% brighter when viewed at an angle
—,ECG app1
High and low
heart rate notifications,High and low
heart rate notifications
Irregular rhythm
notifications2,Irregular rhythm
notifications2
Low cardio fitness
notifications,Low cardio fitness
notifications
Sleep tracking,Sleep tracking
—,Sleep apnea notifications3
Vitals app featuring heart rate\, respiratory rate\, and sleep duration4,Vitals app featuring heart rate\, respiratory rate\, wrist temperature\, and sleep duration4
—,Temperature sensing5
Cycle Tracking,Cycle Tracking with retrospective ovulation estimates6
Emergency SOS7,Emergency SOS7
International
emergency calling8,International
emergency calling8
Fall Detection
and Crash Detection7,Fall Detection
and Crash Detection7
50m,50m
Water resistant9,Water resistant10
Swimproof,Swimproof
—,Depth gauge to 6m
—,Water temperature sensor
GPS,GPS
Cellular and Wi-Fi only options 23,Cellular and Wi-Fi only options 23
S8 SiP,S10 SiP
—,Double tap gesture
Siri,Fast on-device Siri with health data access
Find iPhone,Precision Finding
for iPhone24
Up to 18 hours25,Up to 18 hours26
Low Power Mode,Up to 36 hours in
Low Power Mode26
—,Faster charging
(0–80% in about 30 minutes)38
GPS + Cellular,GPS + Cellular
Aluminum available in midnight\, starlight\, and silver,Aluminum available in jet black\, rose gold\, and silver
—,Titanium available in slate\, gold\, and natural
GPS,GPS
Aluminum available in midnight\, starlight\, and silver,Aluminum available in jet black\, rose gold\, and silver
—
Not available,Apple Watch Hermès
—,Titanium available in silver
44mm by 38mm by 10.7mm (44mm)
32.9 grams (GPS)
33.0 grams (GPS + Cellular),46mm by 39mm by 9.7mm (46mm)
36.4 grams (aluminum\, GPS)
35.3 grams (aluminum\, GPS + Cellular)
41.7 grams (titanium)
40mm by 34mm by 10.7mm (40mm)
26.4 grams (GPS)
27.8 grams (GPS + Cellular),42mm by 36mm by 9.7mm (42mm)
30 grams (aluminum\, GPS)
29.3 grams (aluminum\, GPS + Cellular)
34.4 grams (titanium)
Nylon composite and sapphire crystal back,Metal and sapphire crystal back
LTPO OLED Retina display,LTPO3 OLED Always-on Retina display
—,Wide-angle OLED
Up to 1000 nits brightness,Up to 2000 nits brightness
—,1 nit minimum brightness
